ts_code,trade_date,open,high,low,close,vol,amount
510500.SH,2024-05-21,5.506,5.518,5.464,5.484,2808569.21,1541428.58
510500.SH,2024-05-22,5.479,5.493,5.461,5.478,2296000.47,1257466.353
510500.SH,2024-05-23,5.465,5.465,5.362,5.383,3992421.88,2157056.181
510500.SH,2024-05-24,5.361,5.417,5.324,5.331,2092200.6,1123114.671
510500.SH,2024-05-27,5.345,5.387,5.294,5.383,2425546.87,1295755.5
510500.SH,2024-05-28,5.377,5.379,5.324,5.336,2146283.86,1148740.742
510500.SH,2024-05-29,5.33,5.386,5.325,5.347,3143561.43,1685053.739
510500.SH,2024-05-30,5.347,5.375,5.318,5.336,2025748.0,1082625.287
510500.SH,2024-05-31,5.347,5.386,5.332,5.335,3021094.74,1617830.981
510500.SH,2024-06-03,5.329,5.343,5.253,5.294,2973093.3,1573165.845
510500.SH,2024-06-04,5.289,5.382,5.273,5.365,2318048.31,1236260.806
510500.SH,2024-06-05,5.365,5.373,5.304,5.307,1862866.3,995937.984
510500.SH,2024-06-06,5.324,5.34,5.244,5.269,2534542.71,1341265.379
510500.SH,2024-06-07,5.291,5.304,5.212,5.244,2743245.57,1440518.368
510500.SH,2024-06-11,5.227,5.275,5.199,5.256,1877216.05,982239.469
510500.SH,2024-06-12,5.245,5.288,5.243,5.271,1893932.24,998194.127
510500.SH,2024-06-13,5.279,5.283,5.229,5.244,1952078.21,1024633.279
510500.SH,2024-06-14,5.235,5.29,5.214,5.269,3141983.75,1650786.376
510500.SH,2024-06-17,5.247,5.273,5.239,5.251,1440540.83,757577.688
510500.SH,2024-06-18,5.255,5.296,5.255,5.278,2480729.31,1309362.39
510500.SH,2024-06-19,5.287,5.292,5.218,5.224,1973026.15,1033228.122
510500.SH,2024-06-20,5.219,5.235,5.141,5.146,1739755.09,900567.952
510500.SH,2024-06-21,5.139,5.181,5.129,5.155,2661721.34,1372701.498
510500.SH,2024-06-24,5.14,5.14,5.036,5.047,8320736.1,4219239.878
510500.SH,2024-06-25,5.05,5.065,4.964,5.003,5414475.01,2717880.474
510500.SH,2024-06-26,4.992,5.082,4.97,5.072,3800469.41,1907111.299
510500.SH,2024-06-27,5.053,5.059,4.984,4.988,6434058.01,3221419.468
510500.SH,2024-06-28,4.978,5.065,4.972,4.996,4148317.03,2085352.184
510500.SH,2024-07-01,4.996,5.078,4.981,5.055,3095527.14,1557013.366
510500.SH,2024-07-02,5.052,5.057,4.99,5.009,1998284.34,1003940.421
510500.SH,2024-07-03,5.003,5.014,4.96,4.966,1875123.43,934475.788
510500.SH,2024-07-04,4.98,4.989,4.886,4.895,5107612.94,2514631.26
510500.SH,2024-07-05,4.89,4.941,4.859,4.93,2084542.23,1020397.247
510500.SH,2024-07-08,4.915,4.919,4.831,4.848,2343627.56,1139285.363
510500.SH,2024-07-09,4.84,4.957,4.813,4.936,3407766.22,1665121.351
510500.SH,2024-07-10,4.926,4.957,4.906,4.908,1895941.56,934688.474
510500.SH,2024-07-11,4.964,5.015,4.934,5.007,2851786.08,1421153.966
510500.SH,2024-07-12,4.999,5.007,4.973,4.985,1508868.4,753015.882
510500.SH,2024-07-15,4.97,4.978,4.94,4.949,4545598.32,2254993.09
510500.SH,2024-07-16,4.939,4.982,4.922,4.966,2187526.33,1082677.266
510500.SH,2024-07-17,4.962,4.973,4.926,4.931,6147726.92,3038141.458
510500.SH,2024-07-18,4.917,4.956,4.866,4.954,4745454.91,2327743.494
510500.SH,2024-07-19,4.928,4.978,4.914,4.946,6176635.69,3056884.867
510500.SH,2024-07-22,4.948,4.965,4.905,4.934,3043013.93,1503144.331
