ts_code,name,call_put,exercise_price,list_date,delist_date,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi,expire_date,days_to_expire,price_diff
10007233.SH,南方中证500ETF期权2412认购6.398,C,6.398,20240429,20241225,2024-11-08,SSE,0.2477,0.2477,0.267,0.3013,0.2307,0.2375,0.2375,2304.0,611.955698,3673.0,2024-12-25,47,0.07200000000000006
10008028.SH,南方中证500ETF期权2503认购6.394,C,6.394,20240930,20250326,2024-11-08,SSE,0.3605,0.3605,0.407,0.4111,0.3259,0.3369,0.3369,2315.0,839.371,6407.0,2025-03-26,138,0.0680000000000005
10008304.SH,南方中证500ETF期权2506认购6.394,C,6.394,20241024,20250625,2024-11-08,SSE,0.452,0.4587,0.4939,0.5157,0.4299,0.438,0.4331,185.0,85.8475,375.0,2025-06-25,229,0.0680000000000005
10008024.SH,南方中证500ETF期权2411认购6.50,C,6.5,20240930,20241127,2024-11-11,SSE,0.1183,0.1183,0.098,0.1123,0.0646,0.0906,0.0906,171470.0,15205.6484,55918.0,2024-11-27,16,0.06799999999999962
10007233.SH,南方中证500ETF期权2412认购6.398,C,6.398,20240429,20241225,2024-11-11,SSE,0.2375,0.2375,0.2065,0.2263,0.1793,0.2181,0.2181,2241.0,476.216472,4032.0,2024-12-25,44,0.034000000000000696
10008028.SH,南方中证500ETF期权2503认购6.394,C,6.394,20240930,20250326,2024-11-11,SSE,0.3369,0.3369,0.3118,0.3349,0.2828,0.3206,0.3206,2079.0,659.1424,6391.0,2025-03-26,135,0.038000000000000256
10008304.SH,南方中证500ETF期权2506认购6.394,C,6.394,20241024,20250625,2024-11-11,SSE,0.4331,0.438,0.4109,0.4448,0.3947,0.4148,0.4148,217.0,89.5874,516.0,2025-06-25,226,0.038000000000000256
10008023.SH,南方中证500ETF期权2411认购6.25,C,6.25,20240930,20241127,2024-11-12,SSE,0.2068,0.2068,0.209,0.2508,0.1405,0.1583,0.1583,155078.0,30129.0385,55535.0,2024-11-27,15,0.12199999999999989
10007233.SH,南方中证500ETF期权2412认购6.398,C,6.398,20240429,20241225,2024-11-12,SSE,0.2181,0.2181,0.2224,0.2392,0.157,0.1692,0.1692,2213.0,427.419922,4462.0,2024-12-25,43,0.0259999999999998
10008028.SH,南方中证500ETF期权2503认购6.394,C,6.394,20240930,20250326,2024-11-12,SSE,0.3206,0.3206,0.3353,0.337,0.2536,0.2698,0.2698,1764.0,508.3388,6297.0,2025-03-26,134,0.02200000000000024
10008304.SH,南方中证500ETF期权2506认购6.394,C,6.394,20241024,20250625,2024-11-12,SSE,0.4148,0.4148,0.4281,0.4281,0.3447,0.3568,0.3542,321.0,124.1758,511.0,2025-06-25,225,0.02200000000000024
10008023.SH,南方中证500ETF期权2411认购6.25,C,6.25,20240930,20241127,2024-11-13,SSE,0.1583,0.1583,0.1511,0.1761,0.1184,0.15,0.15,174986.0,25276.646,58347.0,2024-11-27,14,0.10299999999999976
10007233.SH,南方中证500ETF期权2412认购6.398,C,6.398,20240429,20241225,2024-11-13,SSE,0.1692,0.1692,0.1624,0.1789,0.1372,0.1628,0.1627,1883.0,290.627206,4811.0,2024-12-25,42,0.04499999999999993
10008028.SH,南方中证500ETF期权2503认购6.394,C,6.394,20240930,20250326,2024-11-13,SSE,0.2698,0.2698,0.2635,0.2715,0.2331,0.2573,0.2573,867.0,215.0251,6203.0,2025-03-26,133,0.04100000000000037
