ts_code,name,opt_code,opt_type,call_put,exercise_price,maturity_date,list_date,delist_date
10006808.SH,易方达上证科创板50ETF期权2409认购0.90,OP588080.SH,ETF期权,C,0.9,20240925,20240125,20240925
10007790.SH,易方达上证科创板50ETF期权2410认沽0.50,OP588080.SH,ETF期权,P,0.5,20241023,20240829,20241023
10007411.SH,易方达上证科创板50ETF期权2407认购0.85,OP588080.SH,ETF期权,C,0.85,20240724,20240523,20240724
10007796.SH,易方达上证科创板50ETF期权2410认沽0.80,OP588080.SH,ETF期权,P,0.8,20241023,20240829,20241023
10005715.SH,易方达上证科创板50ETF期权2308认购0.85,OP588080.SH,ETF期权,C,0.85,20230823,20230629,20230823
10005716.SH,易方达上证科创板50ETF期权2308认购0.90,OP588080.SH,ETF期权,C,0.9,20230823,20230629,20230823
10005717.SH,易方达上证科创板50ETF期权2308认购0.95,OP588080.SH,ETF期权,C,0.95,20230823,20230629,20230823
10005718.SH,易方达上证科创板50ETF期权2308认购1.00,OP588080.SH,ETF期权,C,1.0,20230823,20230629,20230823
10005719.SH,易方达上证科创板50ETF期权2308认购1.05,OP588080.SH,ETF期权,C,1.05,20230823,20230629,20230823
10005720.SH,易方达上证科创板50ETF期权2308认购1.10,OP588080.SH,ETF期权,C,1.1,20230823,20230629,20230823
10005721.SH,易方达上证科创板50ETF期权2308认购1.15,OP588080.SH,ETF期权,C,1.15,20230823,20230629,20230823
10005722.SH,易方达上证科创板50ETF期权2308认购1.20,OP588080.SH,ETF期权,C,1.2,20230823,20230629,20230823
10005723.SH,易方达上证科创板50ETF期权2308认购1.25,OP588080.SH,ETF期权,C,1.25,20230823,20230629,20230823
10005724.SH,易方达上证科创板50ETF期权2308认沽0.85,OP588080.SH,ETF期权,P,0.85,20230823,20230629,20230823
10005725.SH,易方达上证科创板50ETF期权2308认沽0.90,OP588080.SH,ETF期权,P,0.9,20230823,20230629,20230823
10005726.SH,易方达上证科创板50ETF期权2308认沽0.95,OP588080.SH,ETF期权,P,0.95,20230823,20230629,20230823
10005727.SH,易方达上证科创板50ETF期权2308认沽1.00,OP588080.SH,ETF期权,P,1.0,20230823,20230629,20230823
10005728.SH,易方达上证科创板50ETF期权2308认沽1.05,OP588080.SH,ETF期权,P,1.05,20230823,20230629,20230823
10005729.SH,易方达上证科创板50ETF期权2308认沽1.10,OP588080.SH,ETF期权,P,1.1,20230823,20230629,20230823
10005730.SH,易方达上证科创板50ETF期权2308认沽1.15,OP588080.SH,ETF期权,P,1.15,20230823,20230629,20230823
10005731.SH,易方达上证科创板50ETF期权2308认沽1.20,OP588080.SH,ETF期权,P,1.2,20230823,20230629,20230823
10005732.SH,易方达上证科创板50ETF期权2308认沽1.25,OP588080.SH,ETF期权,P,1.25,20230823,20230629,20230823
10006993.SH,易方达上证科创板50ETF期权2404认购0.90,OP588080.SH,ETF期权,C,0.9,20240424,20240229,20240424
10005989.SH,易方达上证科创板50ETF期权2310认购0.90,OP588080.SH,ETF期权,C,0.9,20231025,20230824,20231025
10007795.SH,易方达上证科创板50ETF期权2410认沽0.75,OP588080.SH,ETF期权,P,0.75,20241023,20240829,20241023
10009049.SH,易方达上证科创板50ETF期权2504认购0.85,OP588080.SH,ETF期权,C,0.85,20250423,20250324,20250423
10009050.SH,易方达上证科创板50ETF期权2504认沽0.85,OP588080.SH,ETF期权,P,0.85,20250423,20250324,20250423
10006244.SH,易方达上证科创板50ETF期权2406认购0.90,OP588080.SH,ETF期权,C,0.9,20240626,20231026,20240626
10006100.SH,易方达上证科创板50ETF期权2311认购0.85,OP588080.SH,ETF期权,C,0.85,20231122,20230928,20231122
10007119.SH,易方达上证科创板50ETF期权2405认沽0.70,OP588080.SH,ETF期权,P,0.7,20240522,20240328,20240522
10007117.SH,易方达上证科创板50ETF期权2405认沽0.60,OP588080.SH,ETF期权,P,0.6,20240522,20240328,20240522
10007116.SH,易方达上证科创板50ETF期权2405认沽0.55,OP588080.SH,ETF期权,P,0.55,20240522,20240328,20240522
10007785.SH,易方达上证科创板50ETF期权2410认购0.70,OP588080.SH,ETF期权,C,0.7,20241023,20240829,20241023
10008660.SH,易方达上证科创板50ETF期权2502认沽1.15,OP588080.SH,ETF期权,P,1.15,20250226,20241226,20250226
10008868.SH,易方达上证科创板50ETF期权2509认购0.95,OP588080.SH,ETF期权,C,0.95,20250924,20250123,20250924
10006823.SH,易方达上证科创板50ETF期权2409认购1.00,OP588080.SH,ETF期权,C,1.0,20240925,20240126,20240925
10007228.SH,易方达上证科创板50ETF期权2412认沽0.95,OP588080.SH,ETF期权,P,0.95,20241225,20240425,20241225
10007938.SH,易方达上证科创板50ETF期权2411认购0.75,OP588080.SH,ETF期权,C,0.75,20241127,20240926,20241127
10007214.SH,易方达上证科创板50ETF期权2412认购0.70,OP588080.SH,ETF期权,C,0.7,20241225,20240425,20241225
10007528.SH,易方达上证科创板50ETF期权2408认购0.80,OP588080.SH,ETF期权,C,0.8,20240828,20240627,20240828
10008246.SH,易方达上证科创板50ETF期权2412认购1.20,OP588080.SH,ETF期权,C,1.2,20241225,20241009,20241225
10007940.SH,易方达上证科创板50ETF期权2411认购0.85,OP588080.SH,ETF期权,C,0.85,20241127,20240926,20241127
10007215.SH,易方达上证科创板50ETF期权2412认购0.75,OP588080.SH,ETF期权,C,0.75,20241225,20240425,20241225
10006112.SH,易方达上证科创板50ETF期权2311认沽1.00,OP588080.SH,ETF期权,P,1.0,20231122,20230928,20231122
10007538.SH,易方达上证科创板50ETF期权2408认沽0.85,OP588080.SH,ETF期权,P,0.85,20240828,20240627,20240828
10009135.SH,易方达上证科创板50ETF期权2505认沽1.00,OP588080.SH,ETF期权,P,1.0,20250528,20250327,20250528
10008873.SH,易方达上证科创板50ETF期权2509认购1.20,OP588080.SH,ETF期权,C,1.2,20250924,20250123,20250924
10006812.SH,易方达上证科创板50ETF期权2409认沽0.65,OP588080.SH,ETF期权,P,0.65,20240925,20240125,20240925
10009010.SH,易方达上证科创板50ETF期权2504认购1.30,OP588080.SH,ETF期权,C,1.3,20250423,20250227,20250423
10005998.SH,易方达上证科创板50ETF期权2310认沽0.90,OP588080.SH,ETF期权,P,0.9,20231025,20230824,20231025
10008889.SH,易方达上证科创板50ETF期权2509认购1.25,OP588080.SH,ETF期权,C,1.25,20250924,20250207,20250924
10006164.SH,易方达上证科创板50ETF期权2312认沽0.65,OP588080.SH,ETF期权,P,0.65,20231227,20231024,20231227
10008238.SH,易方达上证科创板50ETF期权2411认购1.20,OP588080.SH,ETF期权,C,1.2,20241127,20241009,20241127
10007939.SH,易方达上证科创板50ETF期权2411认购0.80,OP588080.SH,ETF期权,C,0.8,20241127,20240926,20241127
10008474.SH,易方达上证科创板50ETF期权2501认沽0.90,OP588080.SH,ETF期权,P,0.9,20250122,20241128,20250122
10005635.SH,易方达上证科创板50ETF期权2309认购0.85,OP588080.SH,ETF期权,C,0.85,20230927,20230607,20230927
